cve,descrip
"01","Cambió de lugar de residencia"
"02","Edad máxima requerida para la prestación de guarderías y estancias infantiles"
"03","Búsqueda de educación con mejor calidad (pública o privada)"
"04","Entró a escuelas donde se tiene pase directo a universidad"
"05","Cierre de escuela o estaba lejos"
"06","Alto costo de la escuela privada / estar pagando sin aprovechar la totalidad de actividades"
"07","La escuela no manejaba bien las clases virtuales, no había buena organización"
"08","Por motivos personales le convenía el cambio"
"09","La (el) misma(o) estudiante pidió o solicitó el cambio porque no le gustaba la escuela"
"10","Debido a la pandemia por COVID-19"
"11","No encontró lugar en la escuela o no hay posibilidad en la escuela pública"
