cve,descrip
"01","Por falta de dinero o recursos"
"02","Tenía que trabajar o entró a trabajar"
"03","Recién cumplió tres años"
"04","Falta de algún documento para ingresar (no tiene acta de nacimiento, CURP o cartilla de vacunación)"
"05","No había escuela o estaba lejos"
"06","Discapacidad física o mental"
"07","Enfermedad o problemas de salud física o emocional (afecciones cardíacas, cáncer, depresión o ansiedad)"
"08","Tenia que dedicarse a quehaceres del hogar o cuidar algún familiar"
"09","Familia o padres no la(o) apoyaron a estudiar"
"10","Otro"
"11","Debido a la pandemia por COVID-19"
